Source,Target,Path,Length
17,21,"[(35, {'title_length': 7, 'ctime_length': 1680257661, 'duration_length': 86, 'tid': 17, 'pagerank': 2.8631603533541615e-05}), (86, {'title_length': 9, 'ctime_length': 1680322130, 'duration_length': 42, 'tid': 138, 'pagerank': 3.3577201950950124e-05}), (96, {'title_length': 11, 'ctime_length': 1647586992, 'duration_length': 72, 'tid': 138, 'pagerank': 3.0486202940069805e-05}), (131, {'title_length': 8, 'ctime_length': 1650023108, 'duration_length': 112, 'tid': 210, 'pagerank': 3.5843934558929026e-05}), (122, {'title_length': 7, 'ctime_length': 1680697949, 'duration_length': 114, 'tid': 138, 'pagerank': 3.9759199972710764e-05}), (147, {'title_length': 8, 'ctime_length': 1680663912, 'duration_length': 97, 'tid': 212, 'pagerank': 3.089833614152052e-05}), (39, {'title_length': 18, 'ctime_length': 1680635668, 'duration_length': 62, 'tid': 21, 'pagerank': 3.516679122107637e-05})]",6
17,75,"[(35, {'title_length': 7, 'ctime_length': 1680257661, 'duration_length': 86, 'tid': 17, 'pagerank': 2.8631603533541615e-05}), (86, {'title_length': 9, 'ctime_length': 1680322130, 'duration_length': 42, 'tid': 138, 'pagerank': 3.3577201950950124e-05}), (461, {'title_length': 13, 'ctime_length': 1679906076, 'duration_length': 64, 'tid': 238, 'pagerank': 3.216417383169055e-05}), (32, {'title_length': 18, 'ctime_length': 1679907956, 'duration_length': 32, 'tid': 161, 'pagerank': 4.272655902315586e-05}), (968, {'title_length': 12, 'ctime_length': 1677517640, 'duration_length': 12, 'tid': 138, 'pagerank': 3.089833614152052e-05}), (55, {'title_length': 8, 'ctime_length': 1678194013, 'duration_length': 23, 'tid': 21, 'pagerank': 3.110440274224587e-05}), (76, {'title_length': 23, 'ctime_length': 1615022474, 'duration_length': 31, 'tid': 220, 'pagerank': 3.110440274224587e-05}), (53, {'title_length': 8, 'ctime_length': 1642473629, 'duration_length': 21, 'tid': 75, 'pagerank': 3.110440274224587e-05})]",7
17,76,"[(27, {'title_length': 4, 'ctime_length': 1673582296, 'duration_length': 27, 'tid': 17, 'pagerank': 2.9868003137893746e-05}), (5, {'title_length': 6, 'ctime_length': 1678504609, 'duration_length': 76, 'tid': 138, 'pagerank': 3.419540175312619e-05}), (12, {'title_length': 7, 'ctime_length': 1676956330, 'duration_length': 66, 'tid': 138, 'pagerank': 3.295900214877406e-05}), (1, {'title_length': 10, 'ctime_length': 1680317035, 'duration_length': 73, 'tid': 138, 'pagerank': 3.32918789653304e-05}), (28, {'title_length': 16, 'ctime_length': 1680076948, 'duration_length': 368, 'tid': 76, 'pagerank': 4.6399123773861075e-05})]",4
17,161,"[(27, {'title_length': 4, 'ctime_length': 1673582296, 'duration_length': 27, 'tid': 17, 'pagerank': 2.9868003137893746e-05}), (5, {'title_length': 6, 'ctime_length': 1678504609, 'duration_length': 76, 'tid': 138, 'pagerank': 3.419540175312619e-05}), (12, {'title_length': 7, 'ctime_length': 1676956330, 'duration_length': 66, 'tid': 138, 'pagerank': 3.295900214877406e-05}), (1, {'title_length': 10, 'ctime_length': 1680317035, 'duration_length': 73, 'tid': 138, 'pagerank': 3.32918789653304e-05}), (32, {'title_length': 18, 'ctime_length': 1679907956, 'duration_length': 32, 'tid': 161, 'pagerank': 4.272655902315586e-05})]",4
17,176,"[(479, {'title_length': 13, 'ctime_length': 1680105924, 'duration_length': 31, 'tid': 17, 'pagerank': 2.9868003137893746e-05}), (974, {'title_length': 26, 'ctime_length': 1679924275, 'duration_length': 33, 'tid': 238, 'pagerank': 3.089833614152052e-05}), (962, {'title_length': 20, 'ctime_length': 1679886487, 'duration_length': 124, 'tid': 241, 'pagerank': 3.089833614152052e-05}), (902, {'title_length': 7, 'ctime_length': 1679509040, 'duration_length': 12, 'tid': 122, 'pagerank': 3.5596391760750796e-05}), (1398, {'title_length': 14, 'ctime_length': 1680928879, 'duration_length': 15, 'tid': 21, 'pagerank': 4.2006307190144386e-05}), (1420, {'title_length': 5, 'ctime_length': 1680924246, 'duration_length': 49, 'tid': 138, 'pagerank': 3.1722602544421935e-05}), (459, {'title_length': 24, 'ctime_length': 1680869589, 'duration_length': 527, 'tid': 250, 'pagerank': 3.728640076400651e-05}), (450, {'title_length': 23, 'ctime_length': 1680168762, 'duration_length': 282, 'tid': 250, 'pagerank': 3.543180135747832e-05}), (482, {'title_length': 18, 'ctime_length': 1678333347, 'duration_length': 15, 'tid': 176, 'pagerank': 2.8631603533541615e-05})]",8
17,183,"[(35, {'title_length': 7, 'ctime_length': 1680257661, 'duration_length': 86, 'tid': 17, 'pagerank': 2.8631603533541615e-05}), (86, {'title_length': 9, 'ctime_length': 1680322130, 'duration_length': 42, 'tid': 138, 'pagerank': 3.3577201950950124e-05}), (96, {'title_length': 11, 'ctime_length': 1647586992, 'duration_length': 72, 'tid': 138, 'pagerank': 3.0486202940069805e-05}), (645, {'title_length': 15, 'ctime_length': 1661508850, 'duration_length': 26, 'tid': 138, 'pagerank': 3.3577201950950124e-05}), (643, {'title_length': 7, 'ctime_length': 1658133489, 'duration_length': 18, 'tid': 138, 'pagerank': 3.713476685026521e-05}), (640, {'title_length': 15, 'ctime_length': 1681113121, 'duration_length': 23, 'tid': 219, 'pagerank': 3.5898367245913083e-05}), (51, {'title_length': 16, 'ctime_length': 1656914170, 'duration_length': 73, 'tid': 222, 'pagerank': 3.4813601555302255e-05}), (59, {'title_length': 13, 'ctime_length': 1637410547, 'duration_length': 78, 'tid': 222, 'pagerank': 3.4813601555302255e-05}), (69, {'title_length': 21, 'ctime_length': 1632918802, 'duration_length': 102, 'tid': 222, 'pagerank': 3.0486202940069805e-05}), (41, {'title_length': 9, 'ctime_length': 1680342816, 'duration_length': 159, 'tid': 138, 'pagerank': 3.3577201950950124e-05}), (42, {'title_length': 16, 'ctime_length': 1680116078, 'duration_length': 214, 'tid': 138, 'pagerank': 3.295900214877406e-05}), (68, {'title_length': 22, 'ctime_length': 1679629241, 'duration_length': 129, 'tid': 183, 'pagerank': 2.8631603533541615e-05})]",11
17,215,"[(35, {'title_length': 7, 'ctime_length': 1680257661, 'duration_length': 86, 'tid': 17, 'pagerank': 2.8631603533541615e-05}), (86, {'title_length': 9, 'ctime_length': 1680322130, 'duration_length': 42, 'tid': 138, 'pagerank': 3.3577201950950124e-05}), (96, {'title_length': 11, 'ctime_length': 1647586992, 'duration_length': 72, 'tid': 138, 'pagerank': 3.0486202940069805e-05}), (645, {'title_length': 15, 'ctime_length': 1661508850, 'duration_length': 26, 'tid': 138, 'pagerank': 3.3577201950950124e-05}), (643, {'title_length': 7, 'ctime_length': 1658133489, 'duration_length': 18, 'tid': 138, 'pagerank': 3.713476685026521e-05}), (640, {'title_length': 15, 'ctime_length': 1681113121, 'duration_length': 23, 'tid': 219, 'pagerank': 3.5898367245913083e-05}), (51, {'title_length': 16, 'ctime_length': 1656914170, 'duration_length': 73, 'tid': 222, 'pagerank': 3.4813601555302255e-05}), (59, {'title_length': 13, 'ctime_length': 1637410547, 'duration_length': 78, 'tid': 222, 'pagerank': 3.4813601555302255e-05}), (69, {'title_length': 21, 'ctime_length': 1632918802, 'duration_length': 102, 'tid': 222, 'pagerank': 3.0486202940069805e-05}), (41, {'title_length': 9, 'ctime_length': 1680342816, 'duration_length': 159, 'tid': 138, 'pagerank': 3.3577201950950124e-05}), (74, {'title_length': 10, 'ctime_length': 1671108649, 'duration_length': 175, 'tid': 215, 'pagerank': 3.1722602544421935e-05})]",10
17,219,"[(35, {'title_length': 7, 'ctime_length': 1680257661, 'duration_length': 86, 'tid': 17, 'pagerank': 2.8631603533541615e-05}), (86, {'title_length': 9, 'ctime_length': 1680322130, 'duration_length': 42, 'tid': 138, 'pagerank': 3.3577201950950124e-05}), (96, {'title_length': 11, 'ctime_length': 1647586992, 'duration_length': 72, 'tid': 138, 'pagerank': 3.0486202940069805e-05}), (131, {'title_length': 8, 'ctime_length': 1650023108, 'duration_length': 112, 'tid': 210, 'pagerank': 3.5843934558929026e-05}), (122, {'title_length': 7, 'ctime_length': 1680697949, 'duration_length': 114, 'tid': 138, 'pagerank': 3.9759199972710764e-05}), (157, {'title_length': 10, 'ctime_length': 1680434657, 'duration_length': 64, 'tid': 138, 'pagerank': 4.0878975129799604e-05}), (40, {'title_length': 9, 'ctime_length': 1680175250, 'duration_length': 69, 'tid': 138, 'pagerank': 2.9868003137893746e-05}), (56, {'title_length': 12, 'ctime_length': 1680247963, 'duration_length': 80, 'tid': 219, 'pagerank': 3.088504152211888e-05})]",7
17,220,"[(35, {'title_length': 7, 'ctime_length': 1680257661, 'duration_length': 86, 'tid': 17, 'pagerank': 2.8631603533541615e-05}), (86, {'title_length': 9, 'ctime_length': 1680322130, 'duration_length': 42, 'tid': 138, 'pagerank': 3.3577201950950124e-05}), (461, {'title_length': 13, 'ctime_length': 1679906076, 'duration_length': 64, 'tid': 238, 'pagerank': 3.216417383169055e-05}), (32, {'title_length': 18, 'ctime_length': 1679907956, 'duration_length': 32, 'tid': 161, 'pagerank': 4.272655902315586e-05}), (968, {'title_length': 12, 'ctime_length': 1677517640, 'duration_length': 12, 'tid': 138, 'pagerank': 3.089833614152052e-05}), (55, {'title_length': 8, 'ctime_length': 1678194013, 'duration_length': 23, 'tid': 21, 'pagerank': 3.110440274224587e-05}), (76, {'title_length': 23, 'ctime_length': 1615022474, 'duration_length': 31, 'tid': 220, 'pagerank': 3.110440274224587e-05}), (54, {'title_length': 11, 'ctime_length': 1668424686, 'duration_length': 12, 'tid': 220, 'pagerank': 3.419540175312619e-05})]",7
17,221,"[(35, {'title_length': 7, 'ctime_length': 1680257661, 'duration_length': 86, 'tid': 17, 'pagerank': 2.8631603533541615e-05}), (86, {'title_length': 9, 'ctime_length': 1680322130, 'duration_length': 42, 'tid': 138, 'pagerank': 3.3577201950950124e-05}), (461, {'title_length': 13, 'ctime_length': 1679906076, 'duration_length': 64, 'tid': 238, 'pagerank': 3.216417383169055e-05}), (32, {'title_length': 18, 'ctime_length': 1679907956, 'duration_length': 32, 'tid': 161, 'pagerank': 4.272655902315586e-05}), (1304, {'title_length': 18, 'ctime_length': 1675523347, 'duration_length': 20, 'tid': 76, 'pagerank': 3.151653594369658e-05}), (52, {'title_length': 10, 'ctime_length': 1675439074, 'duration_length': 27, 'tid': 222, 'pagerank': 3.852280036835863e-05}), (43, {'title_length': 6, 'ctime_length': 1677996176, 'duration_length': 82, 'tid': 221, 'pagerank': 3.349656719414455e-05})]",6
