aid,importance
611771791,6.335315611178522e-05
225918873,6.197777105079498e-05
396829541,5.975709403479002e-05
994281405,5.862492411111586e-05
311561632,5.716853293341511e-05
777868669,5.379690312092947e-05
441786248,5.229417305806761e-05
569513145,5.1549429938067275e-05
311760024,5.080084186376702e-05
484421825,4.930262143608294e-05
347073565,4.8181677923570984e-05
994317608,4.796375497816531e-05
268587445,4.731795633704276e-05
526492663,4.700913474639281e-05
635227086,4.628756971428317e-05
736392280,4.6099266558973855e-05
909244433,4.604019833601065e-05
288426962,4.5024830908091295e-05
220842153,4.5024830908091295e-05
328826329,4.5024830908091295e-05
